国名,2019名目GDP,2019実質GDP,2019一人当たりGDP,2019GDP成長率,2019一人当たりGDP成長率,2019消費者物価上昇率,2019総貯蓄,2019GDPデフレーター,2019純受取ODA,2019一人当たり純受取ODA,2020名目GDP,2020実質GDP,2020一人当たりGDP,2020GDP成長率,2020一人当たりGDP成長率,2020消費者物価上昇率,2020総貯蓄,2020GDPデフレーター,2020純受取ODA,2020一人当たり純受取ODA
Comoros,1195019559,1092843842,1404.433187,1.760785817,-0.459940494,,7.870591414,4.209100256,7.833243277,276.2866996,1223876065,1089641267,1407.40927,-0.293049624,-2.437632792,,9.693443293,0.672423919,9.468022933,283.1535801
Cabo Verde,1981845741,1915123783,3603.775241,5.66775246,4.481830156,1.106666743,35.28652631,0.562980597,0.091796031,11.01323989,1703698677,1632003278,3064.272388,-14.78340501,-15.71099847,0.605795808,33.76022504,-0.862089799,0.35772464,41.14748916
Costa Rica,64417670083,64382490583,12762.13801,2.417511818,1.441173774,2.096046353,13.86597745,2.566792117,0.690669339,69.10594748,62158002233,61774415011,12201.92603,-4.050908171,-4.927747219,0.724911478,13.95216522,0.156109997,,
Caribbean small states,77023818121,74495904514,10406.67071,1.102416497,0.522416093,1.431355982,,2.961396246,,12.39336525,65922853041,67532300591,8857.870922,-9.347633228,-9.845848509,0.038521098,,-1.132770684,,15.40442403
Cuba,1.03E+11,91019611431,9125.878679,-0.164839982,-0.123773042,,,3.546998699,,,1.07E+11,81054474018,9477.852873,-10.94834097,-10.89434366,,,16.55475569,,
Curacao,2995185487,2801930185,19024.17723,-3.371799826,-2.208758183,2.622207834,,2.6259,,,2496174736,2285297118,16109.86167,-18.43847035,-17.12567014,,,2.18,,
Cayman Islands,5943589096,5432239911,91513.04267,3.873076883,2.631999287,,,3.464412644,,,5608989196,5123472741,85346.76195,-5.683975212,-6.791887128,,,0.057659133,,
Cyprus,25758357775,24880804888,29206.07617,5.283187396,3.864532641,0.250370997,14.62946079,1.12289749,,,24692095945,23640672757,27681.56641,-4.984292657,-6.516627349,-0.638422798,8.787765861,-1.121198133,,
Czech Republic,2.52E+11,2.16E+11,23660.14881,3.029478257,2.624557435,2.847875959,26.95877966,3.889772042,,,2.45E+11,2.03E+11,22933.49959,-5.797813877,-6.026656549,3.161295285,29.02281842,4.395392657,,
Germany,3.89E+12,3.60E+12,46794.89929,1.055508247,0.827864779,1.445667015,29.5968963,2.055056553,8.763911247,269.6092894,3.85E+12,3.44E+12,46252.6893,-4.569616717,-4.647544976,0.50668989,28.08515281,1.596822656,8.309471871,259.2505022
Djibouti,3088853639,3028730597,3172.750685,5.5451306,3.958631359,3.319253727,20.53967464,0.449797431,8.53551752,715.658414,3181071154,3065136606,3219.701128,1.202022033,-0.277593604,1.777407838,12.3670778,1.762288068,12.55268684,891.2225648
Dominica,611537037,566874380.6,8516.280039,5.502483437,5.235083537,1.504623539,,4.483286354,,,504214814.8,472745391.1,7003.859021,-16.60491154,-16.81690055,-0.727116413,,-1.132770684,,
Denmark,3.48E+11,3.35E+11,59775.7351,2.114664208,1.749614095,0.758131573,30.77358852,0.742103117,0.154243316,12.19019721,3.56E+11,3.28E+11,61063.31643,-2.062124959,-2.347336032,0.420711974,31.06432387,2.612958681,0.73957907,51.14628753
Dominican Republic,88941299734,89287391493,8282.117131,5.05216802,3.958404175,1.81060377,24.31154331,2.525618656,0.102620948,3.994141896,78844702329,83287065055,7268.19691,-6.720239373,-7.657060908,3.781031799,22.84804183,4.72350402,0.14753114,4.779589766
Algeria,1.72E+11,1.77E+11,3989.668276,1,-0.934555885,1.951768211,39.07355916,-0.46802491,0.041285876,3.358574134,1.45E+11,1.68E+11,3306.858208,-5.1,-6.826963623,2.415130941,31.22048659,-5.508487674,0.073033301,5.989977839
East Asia & Pacific (excluding high income),1.72E+13,1.71E+13,8177.838,5.779899675,5.175263936,1.857838416,41.59863899,1.43248276,0.485669026,16.97332219,1.75E+13,1.73E+13,8270.455138,1.293695375,0.800817654,2.393162393,41.43800683,1.614916538,,
Early-demographic dividend,1.16E+13,1.18E+13,3538.833413,2.375170414,1.072182439,2.759808735,26.10547924,3.061879455,0.026089676,3.00515756,1.08E+13,1.12E+13,3253.713456,-4.383128794,-5.582966499,3.086792948,25.0344525,3.407108154,0.04665818,5.362174525
East Asia & Pacific,2.70E+13,2.63E+13,11494.09153,3.980893383,3.421764234,1.627243671,36.60832952,1.51548563,0.226378383,17.87245468,2.71E+13,2.63E+13,11483.59931,-0.176174551,-0.615359741,0.846905537,36.49033046,1.303808317,0.366651904,26.67360163
Europe & Central Asia (excluding high income),3.25E+12,3.25E+12,8136.751834,2.265647914,1.758655618,2.675992026,25.88776613,3.803721149,0.031202908,7.751901567,2.98E+12,3.21E+12,7435.160748,-1.249376193,-1.621300279,2.732492094,25.72182611,2.449981748,0.048480998,11.58571793
Europe & Central Asia,2.29E+13,2.24E+13,24914.60337,1.821607026,1.514579269,1.763735865,24.66140938,2.127330238,0.482967926,29.17059936,2.21E+13,2.11E+13,23981.02201,-5.5414553,-5.763374578,1.199983969,23.77954383,1.70855084,0.355723879,19.45014094
Ecuador,1.08E+11,1.02E+11,6222.524653,0.012105103,-1.653249634,0.266012515,25.52375001,0.495450028,0.585090081,17.02273888,99291124000,93781977160,5627.77228,-7.787607091,-9.195656221,-0.338872393,24.55738384,-0.399099296,0.441945747,15.28361913
"Egypt, Arab Rep.",3.03E+11,3.98E+11,3019.092283,5.557683888,3.492046874,9.152799593,15.18327142,13.62256757,,,3.65E+11,4.12E+11,3569.206841,3.569669475,1.599848592,5.04493289,11.12268806,6.221218398,,
Euro area,1.34E+13,1.26E+13,39195.77483,1.577736254,1.487465371,1.445667015,25.53836294,1.794827211,,76.06265389,1.30E+13,1.18E+13,38012.66729,-6.399955289,-6.51603099,0.290554556,24.28029564,1.459281574,,17.11863774
Eritrea,,,,,,,,,,,,,,,,,,,,
Spain,1.39E+12,1.32E+12,29554.49052,2.085191421,1.355133045,0.699518994,22.99283222,1.304657166,,,1.28E+12,1.18E+12,27056.42175,-10.82288649,-11.2532668,-0.322753017,21.51214322,1.103930714,,
Estonia,31045591753,27079035673,23397.87826,4.096342644,3.713646751,2.277259312,28.98841078,3.188931533,4.906433885,41.72923878,30650285472,26279914561,23054.35849,-2.951069313,-3.14261532,-0.444531098,28.23314097,-0.294903106,4.952733176,46.1159962
Ethiopia,95912590628,89640020508,855.7608852,8.364085699,5.604369736,15.80963217,29.03045172,12.86039682,,,1.08E+11,95071785238,936.4507576,6.059530886,3.39811006,20.35634686,27.12910708,18.25459029,,
European Union,1.57E+13,1.48E+13,35089.28279,1.827815671,1.763444784,1.630522608,25.60531429,2.199603922,3.549993942,64.63356348,1.53E+13,1.39E+13,34191.82825,-5.955793069,-6.014992565,0.497367319,24.55109705,1.596822656,,
Fragile and conflict affected situations,1.69E+12,1.78E+12,1859.084787,2.228895356,-0.049256913,2.302372515,24.0889632,3.352751711,,,1.56E+12,1.71E+12,1679.0311,-4.307765403,-6.495798757,2.930871841,22.92412918,2.220901833,,
Finland,2.69E+11,2.55E+11,48628.64176,1.220754143,1.109278713,1.02409393,23.76236708,1.495412396,2.549964191,144.5691115,2.72E+11,2.49E+11,49160.83715,-2.299256085,-2.439493859,0.290554556,25.15105603,1.56091815,4.507872654,216.0090306
Fiji,5496264766,5223164681,6175.890653,-0.445563314,-1.168767783,1.773101825,16.41062057,2.375151595,,,4574413823,4431812577,5102.843929,-15.15081665,-15.76500599,-2.595243259,20.96280052,-1.529651649,,
France,2.73E+12,2.62E+12,40578.64429,1.842971814,1.620358453,1.108254923,23.65845933,1.278592146,,,2.63E+12,2.41E+12,39037.12263,-7.855256037,-8.034379209,0.476498853,21.4730822,2.524649139,,
Faroe Islands,3268839776,,67153.68194,,,,,,20.170914,813.1024322,3240759989,,66320.6792,,,,,,37.81096769,1492.162343
"Micronesia, Fed. Sts.",412479413.4,332458503.7,3624.249092,1.174790528,0.133804334,1.539071461,,1.43248276,0.746689432,53.30993856,407515928,326589289.5,3542.969788,-1.765397518,-2.798807669,0.550898204,,0.572169344,0.366811736,23.90229209
Gabon,16874405840,15460241609,7766.996554,3.920808795,1.371169209,2.464567562,,1.547485198,,,15316824039,15176119329,6881.714225,-1.83776093,-4.181858235,1.17681176,,-9.160581049,,
